GammelID;NyID;
4813;cbce38d7-c6c6-4ce9-bced-d64610033e9b;
4842;cf62b576-c883-44b5-a45d-82256d6f8448;
4860;ba14798e-d5a7-410d-b283-dbe0bb115ac6;
4891;3cdb2120-87bb-4e00-8f27-850a9ecc9287;
5269;a3e00b05-3550-4854-b27f-2e04faf1853d;
5431;82e6d4a9-d8e7-454b-9056-c7667a25d11f;
5497;89938e70-ac80-48ee-baad-4c81514f6ca9;
5617;812bd36a-73d2-4d8d-a04f-a479afe26a0a;
5658;f999c8e1-ba05-40bb-a4d1-a54cace1ec35;
5795;f910ad91-4bb2-4214-94bb-480f01208125;
5821;d8c945e4-fced-4ae3-84dd-6d09a07e269b;
5911;90668074-a233-4144-8035-bd2fd6e3d644;
5957;dbeffdcc-02d4-4afc-821a-9d4cb34e8b74;
6314;9effff26-d912-46ff-8f16-c1d3f9d108b2;
6326;5867e798-6edb-463b-bd80-4117a374ca91;
6435;2db34a7e-a1ad-46cc-b69c-14ada60c58ff;
6494;9cb82d11-6538-4a41-8f44-8d5892c3a669;
6502;88297105-355e-483d-aa07-814154415fcb;
6557;4c0ed8b2-6898-411b-aed4-a40db132f135;
6571;63d354d9-eb9e-4b19-9443-4c33596729c1;
6629;97e1d0f4-5b2b-4f2b-896f-89447ab31f04;
6696;6858a5b5-7b07-4b3c-9f60-1f88898ddbd1;
6717;94e3075f-1b8c-461d-9bf3-78db1c67381f;
6999;cdc1f45d-2703-4251-a5f7-fc9ec915c486;
7091;e6866dae-7883-4da6-a59f-86c3300c5816;
7355;3e0e94c9-3e1b-4a9f-bb44-965ade719545;
7367;334fbce2-28fc-4700-86c7-4bd2de65d93c;
7605;00867b9b-732d-4375-b873-abed42a94507;
7986;029b87cb-466a-4d77-90e6-231015f524cf;
8006;96cd6e34-c10c-400b-a457-589c7f160844;
8014;ea074876-d66b-4c2f-af56-2e6e647a050c;
8112;79cb1996-d020-45c7-b3bf-1bce44335e5b;
8144;85608690-13a3-428b-a17f-ed85befb5e97;
8522;03015184-7b9f-4421-8d4e-d5e718277446;
8601;f5f0c721-baa7-4c37-ba38-6dbfbba2c8d1;
11727;97a75ea9-5d89-4214-b817-7a22474d92cc;
